90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
3481.000000, 1.495555E-5, -2.291799E-4, -6.404093E-5, 5.846868E-4, 1.936409E-5, 1.651666E-6, -2.092110E-5, 3.509244E-2
3600.000000, 1.495555E-5, -2.291799E-4, -6.487807E-5, 3.004286E-4, -5.472459E-6, 6.771831E-5, -9.359442E-5, 2.800673E-5
3721.000000, 1.029698E-4, -1.633078E-4, -1.109206E-4, 2.357471E-4, -2.045858E-4, 8.478553E-5, -5.560609E-5, -7.281750E-3
3844.000000, -5.105516E-5, -2.072226E-4, -3.767114E-5, 6.485173E-4, -1.561756E-4, -5.120165E-5, 7.707776E-6, 1.043251E-2
3969.000000, -5.105516E-5, -2.072226E-4, -1.515217E-4, 4.595792E-4, -1.856426E-4, 5.505554E-5, -1.216727E-4, 2.300753E-2
4096.000000, 5.896270E-5, -2.511373E-4, -8.831789E-5, 5.978784E-4, -2.681505E-4, 1.926944E-5, -1.128639E-4, -3.037330E-2
4225.000000, -2.905159E-5, -2.950520E-4, -1.381275E-5, 1.119160E-4, -2.378415E-4, 8.038109E-5, 3.303332E-6, 1.254702E-2
4356.000000, -2.905159E-5, -2.950520E-4, -9.166643E-5, 5.383034E-4, -3.578146E-4, 4.129165E-5, -5.450498E-5, 4.931986E-2
4489.000000, 1.029698E-4, -2.072226E-4, -1.883557E-5, 3.680889E-4, -2.997224E-4, 6.992053E-5, -7.927998E-5, -2.460391E-2
4624.000000, 8.096627E-5, -2.950520E-4, -1.339418E-5, 3.680889E-4, -7.661443E-5, -1.101111E-6, -6.881942E-5, -3.920943E-2
4761.000000, 8.096627E-5, -2.950520E-4, 3.976398E-5, 5.140478E-4, -1.835379E-4, 2.807832E-5, -5.945998E-5, -2.586422E-2
4900.000000, 5.896270E-5, -2.950520E-4, -1.138505E-4, 6.127722E-4, -2.572056E-4, 6.551609E-5, -8.974053E-5, 1.030648E-2
5041.000000, 5.896270E-5, -2.950520E-4, -5.357673E-5, 3.383013E-4, -2.542589E-4, -1.761777E-5, -3.303332E-6, -4.579101E-3
5184.000000, -7.048019E-6, -4.267961E-4, -1.967270E-5, 3.659612E-4, -1.633319E-4, 1.541555E-5, 1.431444E-5, 1.585181E-2
5329.000000, 3.695913E-5, -2.511373E-4, 1.506845E-5, 4.097914E-4, -1.549127E-4, 9.965053E-5, -1.183694E-4, 8.360010E-3
5476.000000, 3.695913E-5, -2.511373E-4, -3.808970E-5, 3.710676E-4, -1.431259E-4, 4.459499E-5, -1.343355E-4, 6.595585E-3
5625.000000, 1.495555E-5, -2.511373E-4, -2.260268E-5, 3.927700E-4, -4.647381E-4, 5.560609E-5, -6.056109E-5, 1.565576E-2
5776.000000, 3.695913E-5, -3.609241E-4, -5.525100E-5, 3.995785E-4, 1.852217E-5, -5.835887E-5, -1.101111E-6, 5.447309E-3
5929.000000, 3.695913E-5, -3.609241E-4, -5.483243E-5, 5.476652E-4, -3.283475E-5, 2.147166E-5, -3.853888E-6, 1.819037E-2
6084.000000, -2.905159E-5, -3.170093E-4, -2.385839E-5, 3.008541E-4, -3.060367E-4, 1.057066E-4, -8.588664E-5, 3.122751E-3
6241.000000, 8.096627E-5, -2.291799E-4, -6.152952E-5, 3.557483E-4, -1.199731E-4, 4.514554E-5, -7.542609E-5, 1.240698E-2
6400.000000, 8.096627E-5, -2.291799E-4, -2.846264E-5, 4.531961E-4, -7.450963E-5, 4.184221E-5, -2.807832E-5, -6.623592E-3
6561.000000, -2.905159E-5, -3.828814E-4, 2.343982E-5, 3.655356E-4, -1.826959E-4, 4.239276E-5, 3.853888E-5, -7.659841E-3
6724.000000, -7.048019E-6, -3.389667E-4, 2.385839E-5, 4.463875E-4, -2.513122E-4, 1.029539E-4, -1.525038E-4, -1.375131E-2
6889.000000, -7.048019E-6, -3.389667E-4, -5.901811E-5, 4.974519E-4, -3.527631E-4, 4.404443E-6, -1.255266E-4, -1.349925E-2
7056.000000, -2.905159E-5, -3.389667E-4, 1.255705E-6, 4.272384E-4, -2.428930E-4, 3.832655E-14, -1.051561E-4, 8.836124E-3
7225.000000, -2.905159E-5, -3.389667E-4, -8.245793E-5, 3.744719E-4, -2.955128E-4, 3.468499E-5, -4.404443E-6, 1.068457E-2
7396.000000, 5.896270E-5, -2.730946E-4, -2.385839E-5, 1.651081E-4, -2.449978E-4, -7.707775E-5, 1.651666E-5, 5.307276E-3
7569.000000, 3.695913E-5, -2.511373E-4, -1.058977E-4, 2.659602E-4, -4.218003E-4, 1.530544E-4, -1.337850E-4, 1.408739E-2
7744.000000, 3.695913E-5, -2.511373E-4, -9.710782E-5, 5.425587E-4, -5.472459E-6, 4.569610E-5, -1.370883E-4, 1.883453E-2
7921.000000, 1.495555E-5, -3.389667E-4, -1.674273E-5, 2.157469E-4, -2.142678E-4, 5.395443E-5, -5.890943E-5, 1.249100E-2
8100.000000, -7.048019E-6, -3.609241E-4, -4.185682E-6, 3.323438E-4, -1.090282E-4, -2.092110E-5, -3.578610E-5, 3.150757E-3
8281.000000, -7.048019E-6, -3.609241E-4, 2.553266E-5, 6.349001E-4, -1.582804E-4, 4.294332E-5, -2.312333E-5, 2.282549E-3
8464.000000, 5.896270E-5, -3.170093E-4, -7.617941E-5, 3.765996E-4, -2.252127E-4, -2.037055E-5, 2.312333E-5, 6.497562E-3
8649.000000, -2.905159E-5, -2.511373E-4, 6.278523E-6, 4.659622E-4, -1.220779E-5, 1.981999E-5, -1.046055E-4, -4.803155E-3
8836.000000, -2.905159E-5, -2.511373E-4, -4.269395E-5, 3.191522E-4, 8.461264E-5, 6.936998E-5, -3.468499E-5, -4.481077E-3
9025.000000, 8.096627E-5, -2.291799E-4, 5.232102E-5, -2.085128E-5, -2.437349E-4, -2.477499E-5, -9.359442E-5, -3.290791E-3
9216.000000, 8.096627E-5, -2.291799E-4, -2.929977E-6, 4.851113E-4, -1.081863E-4, 3.358388E-5, 1.376388E-5, -3.318798E-3
9409.000000, 1.495555E-5, -3.609241E-4, -7.869082E-5, 2.276619E-4, -1.528079E-4, -2.917944E-5, 1.981999E-5, -1.702809E-2
9604.000000, 1.249734E-4, -2.291799E-4, -9.166643E-5, 2.740453E-4, -5.177788E-5, -1.596611E-5, -5.560609E-5, 1.162279E-3
9801.000000, 1.249734E-4, -2.291799E-4, -5.148389E-5, 2.374492E-4, 9.387372E-5, 6.331387E-5, -5.340387E-5, -4.201010E-4
10000.000000, -7.048019E-6, -1.193931E-4, -4.520536E-5, 6.127722E-4, -2.146888E-5, -1.871888E-5, 4.789832E-5, 7.729858E-3
10201.000000, 5.896270E-5, -1.413505E-4, -8.789932E-6, 3.165990E-4, -1.936409E-5, 7.157220E-5, -1.183694E-4, -9.410262E-3
10404.000000, 5.896270E-5, -1.413505E-4, -5.232102E-5, 4.195788E-4, -1.111330E-4, -7.267331E-5, 7.157220E-6, -8.416023E-3
10609.000000, 8.096627E-5, -4.048388E-4, -2.302125E-5, 6.119211E-4, -1.347067E-5, -3.963999E-5, -4.184221E-5, -1.307914E-2
10816.000000, 1.469770E-4, -2.291799E-4, -9.710782E-5, 2.723432E-4, 2.904613E-5, 2.477499E-5, 3.083110E-5, -8.584064E-3
11025.000000, 1.469770E-4, -2.291799E-4, -9.961923E-5, 4.689410E-4, -3.275056E-4, 6.496554E-5, 6.056109E-6, -1.089462E-2
11236.000000, 5.896270E-5, -1.633078E-4, -5.273959E-5, 1.429802E-4, -2.517331E-4, 1.117627E-4, -1.926944E-4, -5.951431E-3
11449.000000, 3.695913E-5, -1.413505E-4, -8.245793E-5, 4.297916E-4, 2.062696E-5, 7.817887E-5, -2.752777E-5, 2.156518E-3
11664.000000, 3.695913E-5, -1.413505E-4, -4.018254E-5, 3.434078E-4, -1.746977E-4, -4.569610E-5, -3.028055E-5, -1.848444E-3
11881.000000, 1.495555E-5, -2.291799E-4, -5.776241E-5, 3.089393E-4, -2.727810E-4, 6.111165E-5, -7.983053E-5, 4.229017E-3
12100.000000, 1.495555E-5, -2.291799E-4, -4.687964E-5, 3.157479E-4, -1.161845E-4, 1.321333E-5, 4.404443E-5, -4.719134E-3
